DateTime,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,y10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15
2024-04-04 12:00:00,1.0,-14.37,1,-11.9,1,-12.54,1,-6.56,,,,,,,,,,,,,,,,,,,,,,
2024-04-05 12:00:00,2.0,-12.73,2,-12.17,2,-12.64,2,-11.57,,,0.0,-12.11,0.0,-12.01,1.0,-12.52,1.0,-13.96,,,1.0,-12.07,1.0,-13.32,1.0,-8.38,0.0,5.54,0.0,-13.8
2024-04-06 12:00:00,3.0,-11.76,3,-12.18,3,0.27,3,-11.63,,,1.0,-11.49,1.0,-12.08,2.0,-12.49,2.0,-13.93,,,2.0,-12.3,2.0,-13.18,2.0,-8.94,1.0,2.37,1.0,-13.58
2024-04-07 12:00:00,4.0,-11.86,4,-12.68,4,-1.06,4,0.12,,,2.0,-11.45,2.0,-11.94,3.0,-12.83,3.0,7.58,,,3.0,-12.7,3.0,-14.11,3.0,-10.69,2.0,1.6,2.0,-0.51
2024-04-08 12:00:00,5.0,-11.95,5,3.25,5,-4.46,5,5.92,,,3.0,-11.42,3.0,-11.8,4.0,-12.78,4.0,-2.8,,,4.0,-12.75,4.0,-14.16,4.0,-11.1,3.0,0.67,3.0,-5.12
2024-04-09 12:00:00,6.0,-12.45,6,3.4,6,2.18,6,4.08,4.0,-0.31,4.0,-11.38,4.0,-11.67,5.0,5.53,5.0,0.32,5.0,6.47,5.0,1.58,5.0,1.77,,,4.0,-0.59,4.0,1.5
2024-04-09 12:00:00,6.0,-12.45,6,3.4,6,2.18,6,4.08,4.0,-0.31,4.0,-11.38,4.0,-11.67,5.0,5.53,5.0,0.32,5.0,6.47,5.0,1.58,5.0,1.77,,,4.0,-0.59,4.0,1.5
2024-04-10 12:00:00,7.0,4.21,7,1.46,7,0.54,7,2.92,5.0,-5.46,5.0,-11.34,5.0,-11.53,6.0,-3.4,6.0,5.78,6.0,4.49,6.0,-2.76,6.0,-2.7,,,5.0,4.33,5.0,-2.22
2024-04-11 12:00:00,8.0,4.73,8,2.13,8,1.25,8,6.88,6.0,4.2,6.0,1.93,6.0,-0.54,7.0,6.66,7.0,5.3,7.0,5.64,7.0,1.67,7.0,1.6,,,6.0,4.09,6.0,2.13
2024-04-12 12:00:00,9.0,5.52,9,3.9,9,1.68,9,7.26,7.0,6.1,7.0,5.23,7.0,2.94,8.0,2.02,8.0,5.21,,,8.0,0.31,8.0,0.29,,,7.0,4.09,7.0,0.35
